Team,Division,Total Yards Offense,Total Points offense,Total Yards Defense,Total Points Defense,Wins
Buffalo Bills,AFC East,4842,302,5682,359,9
Miami Dolphins,AFC East,6026,355,5254,272,6
New England Patriots,AFC East,4923,281,5371,393,13
NY Jets,AFC East,6259,448,5384,326,5
Baltimore Ravens,AFC North,4886,395,5201,303,9
Cincinnati Bengals,AFC North,4488,290,5425,349,7
Cleveland Browns,AFC North,4942,234,5250,410,0
Pittsburgh Steelers,AFC North,5185,301,5601,373,13
Houston Texans,AFC South,5120,338,5546,436,4
Indianapolis Colts,AFC South,4553,263,5873,404,4
Jacksonville Jaguars,AFC South,5855,417,4578,268,10
Tennessee Titans,AFC South,5024,334,5248,356,9
Denver Broncos,AFC West,5185,289,4640,382,5
Kansas City Chiefs,AFC West,6007,415,5842,339,10
Oakland Raiders,AFC West,5028,246,5971,388,6
San Diego Chargers,AFC West,5852,457,4904,295,9
Dallas Cowboys,NFC East,5311,354,5089,332,9
NY Giants,NFC East,6307,458,5856,296,3
Philadelphia Eagles,NFC East,4884,298,5636,382,13
Washington Redskins,NFC East,5199,342,5566,388,7
Chicago Bears,NFC North,4599,264,5106,320,5
Detroit Lions,NFC North,5404,410,5692,376,9
Green Bay Packers,NFC North,4891,320,5582,384,7
Minnesota Vikings,NFC North,5784,478,5434,329,13
Atlanta Falcons,NFC South,5837,353,5094,315,10
Carolina Panthers,NFC South,5179,363,5074,327,11
New Orleans Saints,NFC South,5710,382,4415,252,11
Tampa Bay Buccaneers,NFC South,5816,335,6049,382,5
Arizona Cardinals,NFC West,5026,295,4975,361,8
San Francisco 49ers,NFC West,6047,406,4910,308,6
Seattle Seahawks,NFC West,5589,331,5625,383,9
St. Louis Rams,NFC West,5286,366,5171,332,11
